연도,역번호,역명,1월 승차, 1월 하차,2월 승차, 2월 하차,3월 승차,3월 하차,4월 승차,4월 하차,5월 승차,5월 하차,6월 승차,6월 하차,7월 승차,7월 하차,8월 승차,8월 하차,9월 승차,9월 하차,10월 승차,10월 하차,11월 승차,11월 하차,12월 승차,12월 하차
2010,121,지족,"80,008","78,278","70,692","69,247","90,299","88,821","88,650","86,585","88,346","87,180","83,844","82,942","79,827","78,976","75,722","74,572","77,278","76,024","88,769","87,726","89,420","88,106","97,854","93,858"
2010,122,반석,"81,941","76,086","72,680","66,594","85,177","78,935","85,145","78,268","85,043","78,968","83,670","78,603","85,689","80,132","80,290","75,063","77,264","72,744","87,193","81,115","85,234","79,424","96,267","88,503"
2011,101,판암,"133,141","116,316","120,397","105,232","153,423","137,075","149,621","133,189","152,572","134,630","141,661","124,756","137,487","120,634","134,669","117,596","140,622","122,335","149,182","130,211","147,677","128,590","148,480","127,938"
2011,102,신흥,"57,776","46,384","50,381","40,925","61,480","50,140","60,553","48,991","61,643","49,932","59,119","47,984","58,863","48,082","57,007","46,676","56,507","46,440","59,240","49,227","58,431","47,622","60,222","48,383"
2011,103,대동,"148,766","125,488","124,900","105,348","194,681","166,970","187,606","159,639","191,213","162,182","178,146","149,288","169,187","139,105","157,706","129,593","178,780","145,872","189,247","154,982","188,453","157,120","183,326","151,462"
2011,104,대전,"329,289","330,633","293,320","292,917","352,473","351,446","342,699","346,597","356,242","355,694","328,119","331,296","324,445","327,169","327,260","328,115","323,937","328,697","344,176","345,128","330,931","334,470","341,854","346,669"
2011,105,중앙로,"218,494","235,952","210,664","226,041","232,588","248,866","211,812","231,408","227,169","248,362","199,560","218,488","213,851","235,203","210,508","228,165","202,923","224,443","209,595","233,741","205,693","227,317","237,024","259,705"
2011,106,중구청,"65,270","69,721","56,427","61,527","73,615","78,688","71,727","77,302","71,528","76,136","69,162","74,088","67,632","73,236","66,671","71,616","66,773","71,339","71,926","76,816","71,663","76,479","72,544","77,664"
2011,107,서대전네거리,"232,152","238,468","206,211","215,080","249,475","258,474","241,248","249,872","252,794","261,248","233,992","243,212","234,147","245,934","226,685","239,347","225,196","236,393","241,027","254,804","241,568","252,749","253,622","265,146"
2011,108,오룡,"130,249","116,914","111,860","101,228","146,535","131,050","142,966","129,279","139,698","126,352","133,633","120,477","127,001","113,753","123,782","111,637","128,142","114,660","138,065","123,166","140,273","124,409","139,186","125,775"
